titulacion,curso,codi_base,nom
Enfermería,1,34364,Anatomia humana
Enfermería,1,34365,Fisiologia
Enfermería,1,34366,Fonaments de biologia i bioquímica
Enfermería,1,34367,Fonaments de psicologia en ciències de la salut
Enfermería,1,34368,"Sociologia, gènere i salut"
Enfermería,1,34369,Bioestadística i TIC aplicades a les ciències de la salut
Enfermería,1,34371,Nutrició i dietètica
Enfermería,1,34375,Salut pública
Enfermería,1,34391,Organització de l'estudi. Eines i tècniques d'informació i documentació
Enfermería,2,34370,Farmacologia
Enfermería,2,34372,Fisiopatologia
Enfermería,2,34373,"Bases històriques, epistemològiques i ètiques de la disciplina infermera"
Enfermería,2,34374,Bases metodològiques de les cures d'infermeria
Enfermería,2,34376,Infermeria comunitària
Enfermería,2,34377,Gestió i administració dels serveis de salut
Enfermería,2,34378,"Salut de la dona, de la sexualitat i la reproducció"
Enfermería,2,34379,Infermeria en la salut infantil i de l'adolescent
Enfermería,2,34380,Infermeria medicoquirúrgica I
Enfermería,2,34382,Infermeria en la salut gerontogeriàtrica
Enfermería,2,34385,Introducció a la pràctica en infermeria
Enfermería,3,34381,Infermeria medicoquirúrgica II
Enfermería,3,34383,Infermeria medicoquirúrgica en situacions especials
Enfermería,3,34384,Infermeria psiquiàtrica i salut mental
Enfermería,3,34386,Pràcticum I
Enfermería,3,34387,Pràcticum II
Enfermería,3,34392,Ètica i legislació professional
Enfermería,4,34388,Pràcticum III
Enfermería,4,34389,Pràcticum IV
Enfermería,4,34390,Treball fi de grau en Infermeria
Enfermería,4,34393,Introducció a la investigació en la disciplina infermera
Enfermería,4,34394,"Infermeria en urgències extrahospitalàries, emergències i catàstrofes"
Enfermería,4,34395,Desenvolupament comunitari
Enfermería,4,34396,Anglès aplicat a les ciències de la salut
Enfermería,4,34397,Català aplicat a les ciències de la salut
Enfermería,4,34398,Salut laboral
Enfermería,4,34399,Activitat física i promoció de la salut en infermeria
Podología,1,34323,Anatomia humana
Podología,1,34324,Biologia cel·lular i tissular
Podología,1,34325,Fisiologia
Podología,1,34326,Biofísica i bioquímica
Podología,1,34327,Fisiopatologia
Podología,1,34328,Microbiologia
Podología,1,34330,Psicologia
Podología,1,34331,Bioestadística i TTIC
Podología,1,34332,Salut pública
Podología,1,34333,Podologia general
Podología,2,34329,Farmacologia
Podología,2,34334,Anatomia de les extremitats II
Podología,2,34338,Biomecànica i patomecànica podològica
Podología,2,34339,Ortopodologia I
Podología,2,34340,Ortopodologia II
Podología,2,34342,Patologia podològica
Podología,2,34343,Anatomia patològica
Podología,2,34344,Podologia esportiva
Podología,2,34345,Dermatologia
Podología,2,34348,Quiropodologia I
Podología,2,34351,Cirurgia podològica I
Podología,3,34336,Podologia preventiva
Podología,3,34337,Ètica i legislació professional
Podología,3,34341,Ortopodologia III
Podología,3,34346,Estratègies terapèutiques
Podología,3,34347,Podologia física
Podología,3,34349,Quiropodologia II
Podología,3,34350,Peu de risc
Podología,3,34352,Cirurgia podològica II
Podología,3,34353,Pràcticum I
Podología,3,34360,Salut i gènere
Podología,3,34362,Documentació i bibliografia
Podología,3,34363,Història de la podologia
Podología,4,34335,Radiodiagnòstic i ràdio protecció
Podología,4,34354,Pràcticum II
Podología,4,34355,Pràcticum III
Podología,4,34356,Treball fi de grau
Podología,4,34357,Resolució de casos clínics
Podología,4,34361,Anglès
Podología,4,34358,Disseny i gestió de la clínica podològica
Podología,4,34359,Ortesi i teràpia del calçat
